Bank_code,Period,Item,Scenario,AMOUNT
0SK1ILSPWNVBNQWU0W18,201312,992801,1,156.052
0SK1ILSPWNVBNQWU0W18,201312,992802,1,82.08
0SK1ILSPWNVBNQWU0W18,201312,992803,1,2933
0SK1ILSPWNVBNQWU0W18,201612,992803,3,2619.9985762
0SK1ILSPWNVBNQWU0W18,201612,992803,2,3165.9768938
0SK1ILSPWNVBNQWU0W18,201312,992804,1,21740
0SK1ILSPWNVBNQWU0W18,201612,992804,3,23349
0SK1ILSPWNVBNQWU0W18,201612,992804,2,21877
0SK1ILSPWNVBNQWU0W18,201312,992805,1,0.1349126035
0SK1ILSPWNVBNQWU0W18,201612,992805,3,0.1122103121
0SK1ILSPWNVBNQWU0W18,201612,992805,2,0.144717141
0SK1ILSPWNVBNQWU0W18,201612,992806,3,174.172
0SK1ILSPWNVBNQWU0W18,201612,992806,2,462.293
0SK1ILSPWNVBNQWU0W18,201612,992807,3,443.17342377
0SK1ILSPWNVBNQWU0W18,201612,992807,2,225.31610615
0SK1ILSPWNVBNQWU0W18,201612,992808,3,0
0SK1ILSPWNVBNQWU0W18,201612,992808,2,0
0SK1ILSPWNVBNQWU0W18,201612,992809,3,0
0SK1ILSPWNVBNQWU0W18,201612,992810,3,1284.195
0SK1ILSPWNVBNQWU0W18,201612,992810,2,1750.16
0SK1ILSPWNVBNQWU0W18,201612,992811,3,0
0SK1ILSPWNVBNQWU0W18,201612,992812,3,0
0SK1ILSPWNVBNQWU0W18,201612,992813,3,0
0SK1ILSPWNVBNQWU0W18,201312,993001,1,293.462
0SK1ILSPWNVBNQWU0W18,201412,993001,2,293.462
0SK1ILSPWNVBNQWU0W18,201412,993001,3,251.03
0SK1ILSPWNVBNQWU0W18,201512,993001,2,293.462
0SK1ILSPWNVBNQWU0W18,201512,993001,3,196.97
0SK1ILSPWNVBNQWU0W18,201612,993001,2,287.59
0SK1ILSPWNVBNQWU0W18,201612,993001,3,171.84
0SK1ILSPWNVBNQWU0W18,201412,993002,2,0
0SK1ILSPWNVBNQWU0W18,201412,993002,3,0
0SK1ILSPWNVBNQWU0W18,201512,993002,2,0
0SK1ILSPWNVBNQWU0W18,201512,993002,3,0
0SK1ILSPWNVBNQWU0W18,201612,993002,2,0
0SK1ILSPWNVBNQWU0W18,201612,993002,3,0
0SK1ILSPWNVBNQWU0W18,201412,993003,2,0
0SK1ILSPWNVBNQWU0W18,201412,993003,3,0
0SK1ILSPWNVBNQWU0W18,201512,993003,2,0
0SK1ILSPWNVBNQWU0W18,201512,993003,3,0
0SK1ILSPWNVBNQWU0W18,201612,993003,2,0
0SK1ILSPWNVBNQWU0W18,201612,993003,3,0
0SK1ILSPWNVBNQWU0W18,201312,993004,1,-8.25
0SK1ILSPWNVBNQWU0W18,201412,993004,2,-8.247
0SK1ILSPWNVBNQWU0W18,201412,993004,3,-16.586
0SK1ILSPWNVBNQWU0W18,201512,993004,2,-8.247
0SK1ILSPWNVBNQWU0W18,201512,993004,3,-16.586
0SK1ILSPWNVBNQWU0W18,201612,993004,2,-8.247
0SK1ILSPWNVBNQWU0W18,201612,993004,3,-16.586
0SK1ILSPWNVBNQWU0W18,201312,993005,1,156.052
0SK1ILSPWNVBNQWU0W18,201412,993005,2,156.055
0SK1ILSPWNVBNQWU0W18,201412,993005,3,102.474
0SK1ILSPWNVBNQWU0W18,201512,993005,2,156.055
0SK1ILSPWNVBNQWU0W18,201512,993005,3,48.414
0SK1ILSPWNVBNQWU0W18,201612,993005,2,150.183
0SK1ILSPWNVBNQWU0W18,201612,993005,3,23.284
0SK1ILSPWNVBNQWU0W18,201312,993006,1,-82.08
0SK1ILSPWNVBNQWU0W18,201412,993006,2,-78.7666926
0SK1ILSPWNVBNQWU0W18,201412,993006,3,-130.4445284
0SK1ILSPWNVBNQWU0W18,201512,993006,2,-74.66886274
0SK1ILSPWNVBNQWU0W18,201512,993006,3,-154.9432289
0SK1ILSPWNVBNQWU0W18,201612,993006,2,-71.88055082
